UF;Cultura;Ano;Area Plantada (ha)
Rondônia;Algodao herbáceo (em caroco);1988;1700.0
Rondônia;Algodao herbáceo (em caroco);1989;13676.0
Rondônia;Algodao herbáceo (em caroco);1990;7780.0
Rondônia;Algodao herbáceo (em caroco);1991;3085.0
Rondônia;Algodao herbáceo (em caroco);1992;5949.0
Rondônia;Algodao herbáceo (em caroco);1993;16157.0
Rondônia;Algodao herbáceo (em caroco);1994;25042.0
Rondônia;Algodao herbáceo (em caroco);1995;19091.0
Rondônia;Algodao herbáceo (em caroco);1996;2452.0
Rondônia;Algodao herbáceo (em caroco);1997;2620.0
Rondônia;Algodao herbáceo (em caroco);1998;2740.0
Rondônia;Algodao herbáceo (em caroco);1999;1138.0
Rondônia;Algodao herbáceo (em caroco);2000;1609.0
Rondônia;Algodao herbáceo (em caroco);2001;675.0
Rondônia;Algodao herbáceo (em caroco);2002;0.0
Rondônia;Algodao herbáceo (em caroco);2003;0.0
Rondônia;Algodao herbáceo (em caroco);2004;0.0
Rondônia;Algodao herbáceo (em caroco);2005;0.0
Rondônia;Algodao herbáceo (em caroco);2006;0.0
Rondônia;Algodao herbáceo (em caroco);2007;0.0
Rondônia;Algodao herbáceo (em caroco);2008;0.0
Rondônia;Algodao herbáceo (em caroco);2009;0.0
Rondônia;Algodao herbáceo (em caroco);2010;0.0
Rondônia;Algodao herbáceo (em caroco);2011;0.0
Rondônia;Algodao herbáceo (em caroco);2012;0.0
Rondônia;Algodao herbáceo (em caroco);2013;0.0
Rondônia;Algodao herbáceo (em caroco);2014;0.0
Rondônia;Algodao herbáceo (em caroco);2015;0.0
Rondônia;Algodao herbáceo (em caroco);2016;350.0
Rondônia;Algodao herbáceo (em caroco);2017;0.0
Rondônia;Algodao herbáceo (em caroco);2018;0.0
Rondônia;Algodao herbáceo (em caroco);2019;0.0
Rondônia;Algodao herbáceo (em caroco);2020;0.0
Rondônia;Algodao herbáceo (em caroco);2021;0.0
Rondônia;Algodao herbáceo (em caroco);2022;10050.0
Rondônia;Algodao herbáceo (em caroco);2023;10687.0
Rondônia;Cana-de-acúcar;1988;1013.0
Rondônia;Cana-de-acúcar;1989;437.0
Rondônia;Cana-de-acúcar;1990;462.0
Rondônia;Cana-de-acúcar;1991;467.0
Rondônia;Cana-de-acúcar;1992;487.0
Rondônia;Cana-de-acúcar;1993;447.0
Rondônia;Cana-de-acúcar;1994;367.0
Rondônia;Cana-de-acúcar;1995;393.0
Rondônia;Cana-de-acúcar;1996;567.0
Rondônia;Cana-de-acúcar;1997;630.0
Rondônia;Cana-de-acúcar;1998;637.0
Rondônia;Cana-de-acúcar;1999;548.0
Rondônia;Cana-de-acúcar;2000;410.0
Rondônia;Cana-de-acúcar;2001;504.0
Rondônia;Cana-de-acúcar;2002;210.0
Rondônia;Cana-de-acúcar;2003;348.0
Rondônia;Cana-de-acúcar;2004;415.0
Rondônia;Cana-de-acúcar;2005;700.0
Rondônia;Cana-de-acúcar;2006;1278.0
Rondônia;Cana-de-acúcar;2007;3047.0
Rondônia;Cana-de-acúcar;2008;3204.0
Rondônia;Cana-de-acúcar;2009;4220.0
Rondônia;Cana-de-acúcar;2010;3824.0
Rondônia;Cana-de-acúcar;2011;3767.0
Rondônia;Cana-de-acúcar;2012;3799.0
Rondônia;Cana-de-acúcar;2013;4944.0
Rondônia;Cana-de-acúcar;2014;4866.0
Rondônia;Cana-de-acúcar;2015;2393.0
Rondônia;Cana-de-acúcar;2016;4965.0
Rondônia;Cana-de-acúcar;2017;3786.0
Rondônia;Cana-de-acúcar;2018;1907.0
Rondônia;Cana-de-acúcar;2019;2517.0
Rondônia;Cana-de-acúcar;2020;754.0
Rondônia;Cana-de-acúcar;2021;718.0
Rondônia;Cana-de-acúcar;2022;502.0
Rondônia;Cana-de-acúcar;2023;632.0
Rondônia;Feijao (em grao);1988;101330.0
Rondônia;Feijao (em grao);1989;122073.0
Rondônia;Feijao (em grao);1990;120847.0
Rondônia;Feijao (em grao);1991;139254.0
Rondônia;Feijao (em grao);1992;150323.0
Rondônia;Feijao (em grao);1993;153785.0
Rondônia;Feijao (em grao);1994;166063.0
Rondônia;Feijao (em grao);1995;123682.0
Rondônia;Feijao (em grao);1996;88015.0
Rondônia;Feijao (em grao);1997;92011.0
Rondônia;Feijao (em grao);1998;92607.0
Rondônia;Feijao (em grao);1999;96802.0
Rondônia;Feijao (em grao);2000;86197.0
Rondônia;Feijao (em grao);2001;64011.0
Rondônia;Feijao (em grao);2002;53722.0
Rondônia;Feijao (em grao);2003;56101.0
Rondônia;Feijao (em grao);2004;62190.0
Rondônia;Feijao (em grao);2005;63032.0
Rondônia;Feijao (em grao);2006;61625.0
Rondônia;Feijao (em grao);2007;62851.0
Rondônia;Feijao (em grao);2008;66050.0
Rondônia;Feijao (em grao);2009;66681.0
Rondônia;Feijao (em grao);2010;60494.0
Rondônia;Feijao (em grao);2011;57838.0
Rondônia;Feijao (em grao);2012;51470.0
Rondônia;Feijao (em grao);2013;33641.0
Rondônia;Feijao (em grao);2014;27097.0
Rondônia;Feijao (em grao);2015;22285.0
Rondônia;Feijao (em grao);2016;18790.0
Rondônia;Feijao (em grao);2017;17510.0
Rondônia;Feijao (em grao);2018;17080.0
Rondônia;Feijao (em grao);2019;16815.0
Rondônia;Feijao (em grao);2020;16547.0
Rondônia;Feijao (em grao);2021;13256.0
Rondônia;Feijao (em grao);2022;3137.0
Rondônia;Feijao (em grao);2023;2987.0
Rondônia;Milho (em grao);1988;145454.0
Rondônia;Milho (em grao);1989;157985.0
Rondônia;Milho (em grao);1990;121686.0
Rondônia;Milho (em grao);1991;127649.0
Rondônia;Milho (em grao);1992;149624.0
Rondônia;Milho (em grao);1993;168728.0
Rondônia;Milho (em grao);1994;211524.0
Rondônia;Milho (em grao);1995;198785.0
Rondônia;Milho (em grao);1996;115551.0
Rondônia;Milho (em grao);1997;120799.0
Rondônia;Milho (em grao);1998;133670.0
Rondônia;Milho (em grao);1999;136316.0
Rondônia;Milho (em grao);2000;129953.0
Rondônia;Milho (em grao);2001;104836.0
Rondônia;Milho (em grao);2002;87628.0
Rondônia;Milho (em grao);2003;105635.0
Rondônia;Milho (em grao);2004;120686.0
Rondônia;Milho (em grao);2005;122050.0
Rondônia;Milho (em grao);2006;125209.0
Rondônia;Milho (em grao);2007;123480.0
Rondônia;Milho (em grao);2008;135845.0
Rondônia;Milho (em grao);2009;153691.0
Rondônia;Milho (em grao);2010;169069.0
Rondônia;Milho (em grao);2011;160368.0
Rondônia;Milho (em grao);2012;161036.0
Rondônia;Milho (em grao);2013;148132.0
Rondônia;Milho (em grao);2014;154213.0
Rondônia;Milho (em grao);2015;175952.0
Rondônia;Milho (em grao);2016;166818.0
Rondônia;Milho (em grao);2017;215716.0
Rondônia;Milho (em grao);2018;185413.0
Rondônia;Milho (em grao);2019;225372.0
Rondônia;Milho (em grao);2020;246609.0
Rondônia;Milho (em grao);2021;295980.0
Rondônia;Milho (em grao);2022;322237.0
Rondônia;Milho (em grao);2023;356552.0
Rondônia;Soja (em grao);1988;4620.0
Rondônia;Soja (em grao);1989;9170.0
Rondônia;Soja (em grao);1990;4640.0
Rondônia;Soja (em grao);1991;940.0
Rondônia;Soja (em grao);1992;4140.0
Rondônia;Soja (em grao);1993;5140.0
Rondônia;Soja (em grao);1994;4640.0
Rondônia;Soja (em grao);1995;4500.0
Rondônia;Soja (em grao);1996;576.0
Rondônia;Soja (em grao);1997;656.0
Rondônia;Soja (em grao);1998;7892.0
Rondônia;Soja (em grao);1999;7800.0
Rondônia;Soja (em grao);2000;11800.0
Rondônia;Soja (em grao);2001;21871.0
Rondônia;Soja (em grao);2002;28914.0
Rondônia;Soja (em grao);2003;41600.0
Rondônia;Soja (em grao);2004;56443.0
Rondônia;Soja (em grao);2005;75275.0
Rondônia;Soja (em grao);2006;103110.0
Rondônia;Soja (em grao);2007;89520.0
Rondônia;Soja (em grao);2008;99206.0
Rondônia;Soja (em grao);2009;111426.0
Rondônia;Soja (em grao);2010;122743.0
Rondônia;Soja (em grao);2011;132300.0
Rondônia;Soja (em grao);2012;146144.0
Rondônia;Soja (em grao);2013;179886.0
Rondônia;Soja (em grao);2014;195180.0
Rondônia;Soja (em grao);2015;233605.0
Rondônia;Soja (em grao);2016;246171.0
Rondônia;Soja (em grao);2017;280103.0
Rondônia;Soja (em grao);2018;300816.0
Rondônia;Soja (em grao);2019;344551.0
Rondônia;Soja (em grao);2020;392642.0
Rondônia;Soja (em grao);2021;400459.0
Rondônia;Soja (em grao);2022;489526.0
Rondônia;Soja (em grao);2023;589983.0
Acre;Algodao herbáceo (em caroco);1988;0.0
Acre;Algodao herbáceo (em caroco);1989;0.0
Acre;Algodao herbáceo (em caroco);1990;0.0
Acre;Algodao herbáceo (em caroco);1991;0.0
Acre;Algodao herbáceo (em caroco);1992;0.0
Acre;Algodao herbáceo (em caroco);1993;200.0
Acre;Algodao herbáceo (em caroco);1994;30.0
Acre;Algodao herbáceo (em caroco);1995;80.0
Acre;Algodao herbáceo (em caroco);1996;100.0
Acre;Algodao herbáceo (em caroco);1997;100.0
Acre;Algodao herbáceo (em caroco);1998;100.0
Acre;Algodao herbáceo (em caroco);1999;100.0
Acre;Algodao herbáceo (em caroco);2000;60.0
Acre;Algodao herbáceo (em caroco);2001;88.0
Acre;Algodao herbáceo (em caroco);2002;40.0
Acre;Algodao herbáceo (em caroco);2003;0.0
Acre;Algodao herbáceo (em caroco);2004;48.0
Acre;Algodao herbáceo (em caroco);2005;105.0
Acre;Algodao herbáceo (em caroco);2006;22.0
Acre;Algodao herbáceo (em caroco);2007;0.0
Acre;Algodao herbáceo (em caroco);2008;0.0
Acre;Algodao herbáceo (em caroco);2009;0.0
Acre;Algodao herbáceo (em caroco);2010;0.0
Acre;Algodao herbáceo (em caroco);2011;0.0
Acre;Algodao herbáceo (em caroco);2012;0.0
Acre;Algodao herbáceo (em caroco);2013;0.0
Acre;Algodao herbáceo (em caroco);2014;0.0
Acre;Algodao herbáceo (em caroco);2015;0.0
Acre;Algodao herbáceo (em caroco);2016;0.0
Acre;Algodao herbáceo (em caroco);2017;0.0
Acre;Algodao herbáceo (em caroco);2018;0.0
Acre;Algodao herbáceo (em caroco);2019;0.0
Acre;Algodao herbáceo (em caroco);2020;0.0
Acre;Algodao herbáceo (em caroco);2021;0.0
Acre;Algodao herbáceo (em caroco);2022;0.0
Acre;Algodao herbáceo (em caroco);2023;0.0
Acre;Cana-de-acúcar;1988;1287.0
Acre;Cana-de-acúcar;1989;1556.0
Acre;Cana-de-acúcar;1990;1538.0
Acre;Cana-de-acúcar;1991;654.0
Acre;Cana-de-acúcar;1992;617.0
Acre;Cana-de-acúcar;1993;711.0
Acre;Cana-de-acúcar;1994;668.0
Acre;Cana-de-acúcar;1995;659.0
Acre;Cana-de-acúcar;1996;204.0
Acre;Cana-de-acúcar;1997;177.0
Acre;Cana-de-acúcar;1998;198.0
Acre;Cana-de-acúcar;1999;177.0
Acre;Cana-de-acúcar;2000;220.0
Acre;Cana-de-acúcar;2001;249.0
Acre;Cana-de-acúcar;2002;313.0
Acre;Cana-de-acúcar;2003;529.0
Acre;Cana-de-acúcar;2004;648.0
Acre;Cana-de-acúcar;2005;798.0
Acre;Cana-de-acúcar;2006;973.0
Acre;Cana-de-acúcar;2007;1022.0
Acre;Cana-de-acúcar;2008;2886.0
Acre;Cana-de-acúcar;2009;2541.0
Acre;Cana-de-acúcar;2010;2769.0
Acre;Cana-de-acúcar;2011;2654.0
Acre;Cana-de-acúcar;2012;3086.0
Acre;Cana-de-acúcar;2013;2718.0
Acre;Cana-de-acúcar;2014;3458.0
Acre;Cana-de-acúcar;2015;3573.0
Acre;Cana-de-acúcar;2016;3079.0
Acre;Cana-de-acúcar;2017;2437.0
Acre;Cana-de-acúcar;2018;517.0
Acre;Cana-de-acúcar;2019;513.0
Acre;Cana-de-acúcar;2020;490.0
Acre;Cana-de-acúcar;2021;503.0
Acre;Cana-de-acúcar;2022;480.0
Acre;Cana-de-acúcar;2023;465.0
Acre;Feijao (em grao);1988;11065.0
Acre;Feijao (em grao);1989;11866.0
Acre;Feijao (em grao);1990;12799.0
Acre;Feijao (em grao);1991;15771.0
Acre;Feijao (em grao);1992;15446.0
Acre;Feijao (em grao);1993;17414.0
Acre;Feijao (em grao);1994;17134.0
Acre;Feijao (em grao);1995;12606.0
Acre;Feijao (em grao);1996;10131.0
Acre;Feijao (em grao);1997;11071.0
Acre;Feijao (em grao);1998;11862.0
Acre;Feijao (em grao);1999;11616.0
Acre;Feijao (em grao);2000;14215.0
Acre;Feijao (em grao);2001;19408.0
Acre;Feijao (em grao);2002;17342.0
Acre;Feijao (em grao);2003;13865.0
Acre;Feijao (em grao);2004;16308.0
Acre;Feijao (em grao);2005;16306.0
Acre;Feijao (em grao);2006;14984.0
Acre;Feijao (em grao);2007;14410.0
Acre;Feijao (em grao);2008;10479.0
Acre;Feijao (em grao);2009;9014.0
Acre;Feijao (em grao);2010;12283.0
Acre;Feijao (em grao);2011;12759.0
Acre;Feijao (em grao);2012;12637.0
Acre;Feijao (em grao);2013;12020.0
Acre;Feijao (em grao);2014;8194.0
Acre;Feijao (em grao);2015;7579.0
Acre;Feijao (em grao);2016;7540.0
Acre;Feijao (em grao);2017;6906.0
Acre;Feijao (em grao);2018;6108.0
Acre;Feijao (em grao);2019;5415.0
Acre;Feijao (em grao);2020;5255.0
Acre;Feijao (em grao);2021;5115.0
Acre;Feijao (em grao);2022;5235.0
Acre;Feijao (em grao);2023;5144.0
Acre;Milho (em grao);1988;27489.0
Acre;Milho (em grao);1989;32811.0
Acre;Milho (em grao);1990;32920.0
Acre;Milho (em grao);1991;41552.0
Acre;Milho (em grao);1992;35008.0
Acre;Milho (em grao);1993;36488.0
Acre;Milho (em grao);1994;39313.0
Acre;Milho (em grao);1995;36683.0
Acre;Milho (em grao);1996;22878.0
Acre;Milho (em grao);1997;24337.0
Acre;Milho (em grao);1998;25459.0
Acre;Milho (em grao);1999;26824.0
Acre;Milho (em grao);2000;31813.0
Acre;Milho (em grao);2001;29473.0
Acre;Milho (em grao);2002;33611.0
Acre;Milho (em grao);2003;34067.0
Acre;Milho (em grao);2004;43473.0
Acre;Milho (em grao);2005;40837.0
Acre;Milho (em grao);2006;37871.0
Acre;Milho (em grao);2007;37065.0
Acre;Milho (em grao);2008;31850.0
Acre;Milho (em grao);2009;27903.0
Acre;Milho (em grao);2010;39784.0
Acre;Milho (em grao);2011;36836.0
Acre;Milho (em grao);2012;43833.0
Acre;Milho (em grao);2013;45486.0
Acre;Milho (em grao);2014;45093.0
Acre;Milho (em grao);2015;41876.0
Acre;Milho (em grao);2016;36387.0
Acre;Milho (em grao);2017;34850.0
Acre;Milho (em grao);2018;30140.0
Acre;Milho (em grao);2019;28970.0
Acre;Milho (em grao);2020;29870.0
Acre;Milho (em grao);2021;34105.0
Acre;Milho (em grao);2022;40460.0
Acre;Milho (em grao);2023;40831.0
Acre;Soja (em grao);1988;0.0
Acre;Soja (em grao);1989;0.0
Acre;Soja (em grao);1990;0.0
Acre;Soja (em grao);1991;0.0
Acre;Soja (em grao);1992;0.0
Acre;Soja (em grao);1993;0.0
Acre;Soja (em grao);1994;0.0
Acre;Soja (em grao);1995;0.0
Acre;Soja (em grao);1996;0.0
Acre;Soja (em grao);1997;0.0
Acre;Soja (em grao);1998;120.0
Acre;Soja (em grao);1999;120.0
Acre;Soja (em grao);2000;0.0
Acre;Soja (em grao);2001;0.0
Acre;Soja (em grao);2002;0.0
Acre;Soja (em grao);2003;0.0
Acre;Soja (em grao);2004;0.0
Acre;Soja (em grao);2005;55.0
Acre;Soja (em grao);2006;20.0
Acre;Soja (em grao);2007;100.0
Acre;Soja (em grao);2008;50.0
Acre;Soja (em grao);2009;50.0
Acre;Soja (em grao);2010;100.0
Acre;Soja (em grao);2011;85.0
Acre;Soja (em grao);2012;0.0
Acre;Soja (em grao);2013;60.0
Acre;Soja (em grao);2014;400.0
Acre;Soja (em grao);2015;0.0
Acre;Soja (em grao);2016;100.0
Acre;Soja (em grao);2017;127.0
Acre;Soja (em grao);2018;480.0
Acre;Soja (em grao);2019;1660.0
Acre;Soja (em grao);2020;3280.0
Acre;Soja (em grao);2021;6185.0
Acre;Soja (em grao);2022;6570.0
Acre;Soja (em grao);2023;12010.0
Amazonas;Algodao herbáceo (em caroco);1988;0.0
Amazonas;Algodao herbáceo (em caroco);1989;0.0
Amazonas;Algodao herbáceo (em caroco);1990;0.0
Amazonas;Algodao herbáceo (em caroco);1991;0.0
Amazonas;Algodao herbáceo (em caroco);1992;0.0
Amazonas;Algodao herbáceo (em caroco);1993;0.0
Amazonas;Algodao herbáceo (em caroco);1994;0.0
Amazonas;Algodao herbáceo (em caroco);1995;0.0
Amazonas;Algodao herbáceo (em caroco);1996;25.0
Amazonas;Algodao herbáceo (em caroco);1997;25.0
Amazonas;Algodao herbáceo (em caroco);1998;26.0
Amazonas;Algodao herbáceo (em caroco);1999;23.0
Amazonas;Algodao herbáceo (em caroco);2000;23.0
Amazonas;Algodao herbáceo (em caroco);2001;23.0
Amazonas;Algodao herbáceo (em caroco);2002;23.0
Amazonas;Algodao herbáceo (em caroco);2003;11.0
Amazonas;Algodao herbáceo (em caroco);2004;5.0
Amazonas;Algodao herbáceo (em caroco);2005;2.0
Amazonas;Algodao herbáceo (em caroco);2006;2.0
Amazonas;Algodao herbáceo (em caroco);2007;0.0
Amazonas;Algodao herbáceo (em caroco);2008;0.0
Amazonas;Algodao herbáceo (em caroco);2009;0.0
Amazonas;Algodao herbáceo (em caroco);2010;0.0
Amazonas;Algodao herbáceo (em caroco);2011;0.0
Amazonas;Algodao herbáceo (em caroco);2012;0.0
Amazonas;Algodao herbáceo (em caroco);2013;0.0
Amazonas;Algodao herbáceo (em caroco);2014;0.0
Amazonas;Algodao herbáceo (em caroco);2015;0.0
Amazonas;Algodao herbáceo (em caroco);2016;0.0
Amazonas;Algodao herbáceo (em caroco);2017;0.0
Amazonas;Algodao herbáceo (em caroco);2018;0.0
Amazonas;Algodao herbáceo (em caroco);2019;0.0
Amazonas;Algodao herbáceo (em caroco);2020;0.0
Amazonas;Algodao herbáceo (em caroco);2021;0.0
Amazonas;Algodao herbáceo (em caroco);2022;0.0
Amazonas;Algodao herbáceo (em caroco);2023;0.0
Amazonas;Cana-de-acúcar;1988;1261.0
Amazonas;Cana-de-acúcar;1989;3225.0
Amazonas;Cana-de-acúcar;1990;2389.0
Amazonas;Cana-de-acúcar;1991;1254.0
Amazonas;Cana-de-acúcar;1992;1239.0
Amazonas;Cana-de-acúcar;1993;3162.0
Amazonas;Cana-de-acúcar;1994;3680.0
Amazonas;Cana-de-acúcar;1995;1654.0
Amazonas;Cana-de-acúcar;1996;676.0
Amazonas;Cana-de-acúcar;1997;678.0
Amazonas;Cana-de-acúcar;1998;3252.0
Amazonas;Cana-de-acúcar;1999;3648.0
Amazonas;Cana-de-acúcar;2000;4168.0
Amazonas;Cana-de-acúcar;2001;4231.0
Amazonas;Cana-de-acúcar;2002;4291.0
Amazonas;Cana-de-acúcar;2003;3718.0
Amazonas;Cana-de-acúcar;2004;4029.0
Amazonas;Cana-de-acúcar;2005;5756.0
Amazonas;Cana-de-acúcar;2006;6049.0
Amazonas;Cana-de-acúcar;2007;6274.0
Amazonas;Cana-de-acúcar;2008;6050.0
Amazonas;Cana-de-acúcar;2009;6050.0
Amazonas;Cana-de-acúcar;2010;5407.0
Amazonas;Cana-de-acúcar;2011;5211.0
Amazonas;Cana-de-acúcar;2012;4613.0
Amazonas;Cana-de-acúcar;2013;4169.0
Amazonas;Cana-de-acúcar;2014;4639.0
Amazonas;Cana-de-acúcar;2015;3828.0
Amazonas;Cana-de-acúcar;2016;3600.0
Amazonas;Cana-de-acúcar;2017;3873.0
Amazonas;Cana-de-acúcar;2018;3962.0
Amazonas;Cana-de-acúcar;2019;3964.0
Amazonas;Cana-de-acúcar;2020;4272.0
Amazonas;Cana-de-acúcar;2021;5825.0
Amazonas;Cana-de-acúcar;2022;4775.0
Amazonas;Cana-de-acúcar;2023;4732.0
Amazonas;Feijao (em grao);1988;860.0
Amazonas;Feijao (em grao);1989;856.0
Amazonas;Feijao (em grao);1990;1116.0
