UF;Cultura;Ano;Rendimento (kg/ha)
Rondônia;Algodao herbáceo (em caroco);1988;1376.0
Rondônia;Algodao herbáceo (em caroco);1989;1395.0
Rondônia;Algodao herbáceo (em caroco);1990;1042.0
Rondônia;Algodao herbáceo (em caroco);1991;1232.0
Rondônia;Algodao herbáceo (em caroco);1992;1532.0
Rondônia;Algodao herbáceo (em caroco);1993;1546.0
Rondônia;Algodao herbáceo (em caroco);1994;1515.0
Rondônia;Algodao herbáceo (em caroco);1995;1417.0
Rondônia;Algodao herbáceo (em caroco);1996;1105.0
Rondônia;Algodao herbáceo (em caroco);1997;1114.0
Rondônia;Algodao herbáceo (em caroco);1998;1178.0
Rondônia;Algodao herbáceo (em caroco);1999;1157.0
Rondônia;Algodao herbáceo (em caroco);2000;899.0
Rondônia;Algodao herbáceo (em caroco);2001;1122.0
Rondônia;Algodao herbáceo (em caroco);2002;0.0
Rondônia;Algodao herbáceo (em caroco);2003;0.0
Rondônia;Algodao herbáceo (em caroco);2004;0.0
Rondônia;Algodao herbáceo (em caroco);2005;0.0
Rondônia;Algodao herbáceo (em caroco);2006;0.0
Rondônia;Algodao herbáceo (em caroco);2007;0.0
Rondônia;Algodao herbáceo (em caroco);2008;0.0
Rondônia;Algodao herbáceo (em caroco);2009;0.0
Rondônia;Algodao herbáceo (em caroco);2010;0.0
Rondônia;Algodao herbáceo (em caroco);2011;0.0
Rondônia;Algodao herbáceo (em caroco);2012;0.0
Rondônia;Algodao herbáceo (em caroco);2013;0.0
Rondônia;Algodao herbáceo (em caroco);2014;0.0
Rondônia;Algodao herbáceo (em caroco);2015;0.0
Rondônia;Algodao herbáceo (em caroco);2016;5333.0
Rondônia;Algodao herbáceo (em caroco);2017;0.0
Rondônia;Algodao herbáceo (em caroco);2018;0.0
Rondônia;Algodao herbáceo (em caroco);2019;0.0
Rondônia;Algodao herbáceo (em caroco);2020;0.0
Rondônia;Algodao herbáceo (em caroco);2021;0.0
Rondônia;Algodao herbáceo (em caroco);2022;4367.0
Rondônia;Algodao herbáceo (em caroco);2023;4491.0
Rondônia;Cana-de-acúcar;1988;50812.0
Rondônia;Cana-de-acúcar;1989;49474.0
Rondônia;Cana-de-acúcar;1990;49729.0
Rondônia;Cana-de-acúcar;1991;48608.0
Rondônia;Cana-de-acúcar;1992;48521.0
Rondônia;Cana-de-acúcar;1993;44147.0
Rondônia;Cana-de-acúcar;1994;42435.0
Rondônia;Cana-de-acúcar;1995;43208.0
Rondônia;Cana-de-acúcar;1996;41622.0
Rondônia;Cana-de-acúcar;1997;35628.0
Rondônia;Cana-de-acúcar;1998;36331.0
Rondônia;Cana-de-acúcar;1999;36916.0
Rondônia;Cana-de-acúcar;2000;46080.0
Rondônia;Cana-de-acúcar;2001;37724.0
Rondônia;Cana-de-acúcar;2002;74904.0
Rondônia;Cana-de-acúcar;2003;71287.0
Rondônia;Cana-de-acúcar;2004;71448.0
Rondônia;Cana-de-acúcar;2005;70325.0
Rondônia;Cana-de-acúcar;2006;67973.0
Rondônia;Cana-de-acúcar;2007;65291.0
Rondônia;Cana-de-acúcar;2008;64743.0
Rondônia;Cana-de-acúcar;2009;60018.0
Rondônia;Cana-de-acúcar;2010;61068.0
Rondônia;Cana-de-acúcar;2011;58130.0
Rondônia;Cana-de-acúcar;2012;58402.0
Rondônia;Cana-de-acúcar;2013;62625.0
Rondônia;Cana-de-acúcar;2014;68912.0
Rondônia;Cana-de-acúcar;2015;68054.0
Rondônia;Cana-de-acúcar;2016;69737.0
Rondônia;Cana-de-acúcar;2017;63862.0
Rondônia;Cana-de-acúcar;2018;38318.0
Rondônia;Cana-de-acúcar;2019;44234.0
Rondônia;Cana-de-acúcar;2020;40641.0
Rondônia;Cana-de-acúcar;2021;34162.0
Rondônia;Cana-de-acúcar;2022;35472.0
Rondônia;Cana-de-acúcar;2023;34261.0
Rondônia;Feijao (em grao);1988;597.0
Rondônia;Feijao (em grao);1989;621.0
Rondônia;Feijao (em grao);1990;606.0
Rondônia;Feijao (em grao);1991;551.0
Rondônia;Feijao (em grao);1992;452.0
Rondônia;Feijao (em grao);1993;553.0
Rondônia;Feijao (em grao);1994;557.0
Rondônia;Feijao (em grao);1995;654.0
Rondônia;Feijao (em grao);1996;774.0
Rondônia;Feijao (em grao);1997;729.0
Rondônia;Feijao (em grao);1998;584.0
Rondônia;Feijao (em grao);1999;605.0
Rondônia;Feijao (em grao);2000;577.0
Rondônia;Feijao (em grao);2001;667.0
Rondônia;Feijao (em grao);2002;662.0
Rondônia;Feijao (em grao);2003;609.0
Rondônia;Feijao (em grao);2004;680.0
Rondônia;Feijao (em grao);2005;524.0
Rondônia;Feijao (em grao);2006;594.0
Rondônia;Feijao (em grao);2007;686.0
Rondônia;Feijao (em grao);2008;719.0
Rondônia;Feijao (em grao);2009;698.0
Rondônia;Feijao (em grao);2010;148.0
Rondônia;Feijao (em grao);2011;619.0
Rondônia;Feijao (em grao);2012;733.0
Rondônia;Feijao (em grao);2013;836.0
Rondônia;Feijao (em grao);2014;804.0
